Questions,Answers
Quais sao os ingredientes do Condotril?,"Os ingredientes do Condotril incluem: agentes de volume como Maltodextrina e Fosfato dicálcico; 
            compostos principais ativos: Sulfato de glucosamina (marinho), 
            Sulfato de condroitina,
            Cartilagem de tubarão,
            Metilsulfonilmetano (MSM),
            Extrato seco de Bambusa vulgaris (bambu), 
            exsudado do caule (doseado a 75% de sílica), 
            Extrato seco de Harpagophytum procumbens (harpago), 
            raiz (doseado a 2% de harpagósidos), 
            Colagénio hidrolisado tipo II, 
            Ácido hialurónico (hialuronato de sódio) 
            e outros ingredientes como: Aroma de laranja, 
            Ácido cítrico (acidificante),
            Dióxido de silício (antiaglomerante), 
            Gluconato de manganês (manganês) e Sucralose (edulcorante)"
Quais sao os ingredientes do Duobiotic?,"Os ingredientes do Duobiotic incluem: Fruto-oligossacáridos;
Inulina; 
Maltodextrina de arroz (agente de volume); 
Bactérias probióticas: 
Lactobacillus rhamnosus,
Bifidobacterium bifidus, 
Bifidobacterium lactis,
Bifidobacterium longum,
Lactobacillus acidophilus,
Lactobacillus bulgaricus,
Streptococcus thermophilus; Aroma de iogurte;
Dióxido de silício (antiaglomerante);
Sucralose (edulcorante);
Vitaminas:
Nicotinamida (Vitamina B3),
D-pantotenato de cálcio (Vitamina B5),
Cloridrato de piridoxina (Vitamina B6),
Cloridrato de tiamina (Vitamina B1),
Ácido fólico (ácido pteroilmonoglutâmico),
Filoquinona (Vitamina K),
Cianocobalamina (Vitamina B12).
"
Quais sao os ingredientes do Neurofil?,"Os ingredientes do Neurofil incluem:
Óleo de peixe concentrado rico em ácidos gordos Ómega-3 (EPA e DHA);
Agentes de revestimento e outros aditivos:
Gelatina,
Glicerol (humidificante),
Corantes: óxido de ferro vermelho, óxido de ferro negro,
Óxido de magnésio (magnésio),
Emulsionante: monoestearato de glicerilo,
Espessante: cera de abelhas;
Vitaminas:
Vitamina E (D-alfa-tocoferol),
Vitamina B12 (Cianocobalamina),
Ácido fólico (ácido pteroilmonoglutâmico)."
Quais sao os efeitos do Condotril?,"Os efeitos do Condotril incluem melhorias na saúde das articulações e na formação normal de tecidos conjuntivos, 
redução de inflamações e dor, e fortalecimento das cartilagens e ossos devido à promoção da formação de colagéneo."
Quais sao os efeitos do Duobiotic?,"Os efeitos do Duobiotic incluem melhorias na saúde digestiva e intestinal, bem como na absorção de nutrientes. Também apoia o sistema imunitário, 
regula o trânsito intestinal e oferece suporte nutricional por meio de vitaminas essenciais."
Quais sao os efeitos do Neurofil?,"Os efeitos do Neurofil incluem a melhoria da função cognitiva e da memória, o apoio à saúde cardiovascular, o aumento da energia e a redução da fadiga, 
além de possuir efeitos antioxidantes e promover a saúde do sistema nervoso."
Qual e o processo de toma do Condotril?,"O Duobiotic deve ser tomado 1 saqueta dia. Dissolvendo o conteúdo da saqueta em água ou noutro líquido e tomar imediatamente, de preferência durante
uma refeição principal."
Qual e o processo de toma do Duobiotic?," O Duobiotic deve ser tomado 1 saqueta dia. Dissolvendo o conteúdo da saqueta em água ou noutro líquido e tomar imediatamente, de preferência durante
uma refeição principal."
Qual e o processo de toma do Neurofil?,"O Neurofil deve ser tomado 1 a 2 cápsulas por dia, ingeridas com água, às refeições"
Quais sao as condicoes de armazenamento do Condotril?,"Conservar em local seco na embalagem original e a temperatura inferior a 25ºC.
Preservar da luz e do calor.
Manter fora do alcance e da visão das crianças."
Quais sao as condicoes de armazenamento do Duobiotic?,"Conservar em local seco na embalagem original e a temperatura inferior a 25ºC.
Preservar da luz e do calor. 
Manter fora do alcance e da visão das crianças."
Quais sao as condicoes de armazenamento do Neurofil?,"Preservar da luz e do calor. Manter fora do
alcance e da vista das crianças. 
Em crianças e adolescentes com idade inferior a 18 anos, apenas por indicação médica."
Em que casos nao se pode tomar Condotril?,"O Condotril não deve ser utilizado por pessoas com alergia a mariscos, 
hipersensibilidade a qualquer um dos ingredientes, grávidas ou lactantes, salvo indicação médica. Não deve ser utilizado por crianças ou adolescentes. 
Se estiver a tomar anticoagulantes, consulte o seu médico ou farmacêutico antes de tomar o produto."
Em que casos nao se pode tomar Duobiotic?,"Duobiotic não deve ser usado por pessoas alérgicas aos seus componentes, 
grávidas ou lactantes, salvo indicação médica.
O produto não deve ser utilizado em caso de casos de hipersensibilidade, alergia e quando estejam descritas interações de outro produtos com qualuqer um dos constituintes da formulação."
Em que casos nao se pode tomar Neurofil?,"Neurofil não deve ser usado por pessoas grávidas ou lactantes, salvo indicação médica. 
O produto não deve ser utilizado em caso de
hipersensibilidade, alergia e quando estejam descritas interações de outro produto com qualquer um dos constituintes da
formulação."
Quantas doses tem a embalagem do Condotril?,Número de doses por embalagem: 30.
Quantas doses tem a embalagem do Duobiotic?,Número de doses por embalagem: 8.
Quantas doses tem a embalagem do Neurofil?,Número de doses por embalagem: 60 a 30.
